age,gpa,application_order,study_time_week,daytime/evening_classes,attendance,extracurriculars,previous_qualification,displaced,entertainment_hours,work,average_sleep,mental_health
16,0.95,4,15.89325784795778,1,21.0,1,7,0,6.0,1,5,7.625
16,1.14,3,9.126336411019247,1,27.0,1,6,0,6.0,1,7,7.15
15,0.26,3,3.415365200066738,0,23.0,0,13,0,6.0,1,7,9.350000000000001
18,0.22,5,5.344197909721482,1,26.0,0,7,0,8.0,0,8,9.45
15,1.07,5,10.18226770375044,1,21.0,0,12,0,3.0,1,7,7.324999999999999
15,3.02,4,2.949078348522698,0,3.0,1,8,0,2.0,0,6,2.45
17,1.53,5,12.233113512920282,0,21.0,1,15,0,5.0,1,8,6.174999999999999
17,1.06,1,11.314946131022918,1,23.0,0,10,0,5.0,1,9,7.35
17,2.63,1,14.294046327645152,1,7.0,0,8,0,5.0,1,7,3.4250000000000003
16,2.81,4,18.754092307587356,1,12.0,0,10,0,7.0,0,8,2.9749999999999996
18,2.89,3,18.245091222023117,0,9.0,0,13,0,3.0,1,4,2.7749999999999995
18,4.0,2,18.921512361376628,0,1.0,1,3,1,4.0,0,8,0.0
18,2.52,5,4.894311940474019,1,7.0,0,7,0,4.0,1,7,3.7
18,2.56,6,2.6313061327870924,1,5.0,1,14,0,3.0,1,5,3.5999999999999996
17,1.7,3,6.04553400992897,0,15.0,0,5,0,8.0,0,8,5.75
16,2.1,4,17.90170345532629,0,17.0,0,10,0,7.0,0,6,4.75
16,2.46,5,19.441069492469765,0,16.0,1,0,0,7.0,0,6,3.85
17,2.94,6,17.18649902140952,0,5.0,0,3,0,6.0,0,5,2.6500000000000004
16,1.99,5,2.200354422550872,0,12.0,1,0,0,6.0,0,5,5.0249999999999995
17,1.57,4,18.948559961195865,0,22.0,0,8,0,3.0,0,5,6.074999999999999
18,1.66,4,8.46716054701572,0,13.0,0,3,0,7.0,1,4,5.85
17,0.76,4,0.1862058152470735,1,29.0,1,5,0,9.0,0,5,8.100000000000001
18,0.8,3,8.847874814963872,1,25.0,0,6,0,6.0,0,7,8.0
18,1.34,5,0.9213833935093518,0,20.0,0,8,0,4.0,1,7,6.65
15,0.29,6,10.87755842322235,0,29.0,1,4,0,7.0,0,6,9.275
17,2.61,5,6.771080548741026,1,9.0,0,1,1,5.0,1,5,3.4750000000000005
15,0.93,3,9.468698671880976,1,23.0,0,10,0,3.0,1,9,7.675
17,1.89,2,12.26340721486234,0,10.0,1,11,0,3.0,1,7,5.275
17,2.33,4,17.376021916356407,0,12.0,0,7,0,6.0,0,6,4.175
15,2.23,6,13.238031529438572,1,11.0,0,3,0,5.0,0,9,4.425
15,2.39,4,8.680977369563614,0,8.0,0,1,0,6.0,0,6,4.0249999999999995
17,3.35,4,16.388557073407302,0,3.0,0,6,0,2.0,1,6,1.6249999999999998
16,3.26,4,18.111642751462643,0,6.0,1,11,1,4.0,1,4,1.8500000000000005
18,1.04,3,2.3951993286439444,1,23.0,0,5,0,4.0,0,6,7.4
15,0.03,5,10.638659551055827,1,28.0,0,0,1,8.0,0,4,9.925
18,1.33,1,5.690239194848883,1,21.0,0,0,0,8.0,0,6,6.675
16,3.28,6,0.941223957538948,0,1.0,0,2,0,6.0,1,8,1.8000000000000005
16,2.94,6,13.370933902279706,1,6.0,1,5,0,8.0,1,5,2.6500000000000004
16,0.74,6,17.255415549184512,0,28.0,0,2,0,5.0,1,5,8.149999999999999
15,2.56,1,3.258053089547881,0,8.0,1,9,0,5.0,0,6,3.5999999999999996
16,3.3,1,16.24827315247801,1,4.0,0,3,0,5.0,1,8,1.7500000000000004
15,2.2,5,17.067914670738833,1,14.0,1,4,0,7.0,0,5,4.5
16,1.86,2,18.28680885332967,1,17.0,0,6,0,4.0,0,6,5.35
18,2.73,1,5.305701781721048,1,3.0,0,2,0,3.0,0,5,3.175
18,2.13,2,18.079061303797783,0,18.0,1,15,0,7.0,1,9,4.675000000000001
17,0.98,3,6.413255094728645,0,19.0,0,10,0,5.0,1,5,7.55
18,0.99,6,11.046760269110056,1,25.0,0,15,0,5.0,1,9,7.5249999999999995
17,2.07,6,1.0101494166456426,1,6.0,0,9,0,6.0,0,9,4.825
18,0.5,3,0.8776217673748721,1,25.0,0,13,0,7.0,1,9,8.75
15,2.53,1,14.407464254644058,0,7.0,1,0,0,5.0,1,7,3.6750000000000007
18,1.46,3,8.88959955955582,0,16.0,0,5,1,4.0,0,8,6.35
17,2.34,1,5.125847507384352,1,12.0,1,2,0,4.0,1,5,4.15
17,1.16,3,3.808269920498204,1,23.0,0,10,0,4.0,0,6,7.1
16,1.52,1,13.399069817184362,0,20.0,1,6,0,8.0,1,6,6.2
15,0.0,4,0.0080308805067974,0,27.0,0,13,1,6.0,0,7,10.0
18,1.06,6,16.117823383937086,0,22.0,1,13,1,5.0,1,7,7.35
16,2.23,5,1.5849921225985764,1,10.0,0,1,1,4.0,0,8,4.425
18,0.19,2,3.829792298162389,1,26.0,0,4,1,9.0,0,6,9.525
18,3.51,3,7.724727905981792,1,0.0,1,9,0,6.0,1,8,1.2250000000000005
16,3.55,4,9.697174794322072,1,1.0,0,13,0,5.0,1,7,1.1250000000000004
16,2.24,3,7.099902316278836,0,16.0,0,6,0,6.0,1,8,4.3999999999999995
16,2.71,4,6.414243299685878,1,4.0,1,10,0,6.0,1,9,3.225
16,0.73,1,19.278320241463767,1,29.0,0,1,0,4.0,0,6,8.175
16,0.97,5,12.831593624867883,0,29.0,0,15,0,4.0,0,9,7.575000000000001
18,2.56,2,0.4686591073477641,0,5.0,0,7,0,7.0,1,6,3.5999999999999996
16,0.74,4,8.603518168886264,1,25.0,1,14,0,4.0,1,7,8.149999999999999
15,0.72,4,17.500173994879404,1,24.0,0,7,0,8.0,1,7,8.200000000000001
17,1.27,5,6.029123728213359,1,23.0,1,11,0,3.0,0,6,6.825
16,2.53,2,1.8911268954877647,1,6.0,1,5,1,6.0,0,9,3.6750000000000007
16,0.94,6,15.167695431798355,0,27.0,1,15,0,4.0,0,7,7.65
18,1.52,5,12.120276638721624,0,20.0,0,13,0,4.0,0,4,6.2
16,0.65,5,11.406250156530078,0,29.0,1,3,0,7.0,0,8,8.375
16,2.05,2,1.0715311921481585,0,14.0,0,9,0,4.0,0,5,4.875
16,0.84,3,2.8099801959103465,0,18.0,1,14,0,2.0,0,9,7.9
18,1.46,2,12.450987924262275,0,15.0,0,9,0,7.0,0,6,6.35
16,1.49,4,4.156476829176716,1,24.0,1,2,0,6.0,1,5,6.2749999999999995
17,2.59,4,10.081401594968488,0,12.0,0,11,0,7.0,1,5,3.5250000000000004
18,3.22,1,10.89763372058787,1,4.0,0,3,0,6.0,0,7,1.9499999999999995
17,3.55,3,5.670143805418788,1,2.0,0,5,0,5.0,1,7,1.1250000000000004
18,3.09,4,18.968503110829857,0,2.0,0,8,0,6.0,1,7,2.2750000000000004
16,1.92,5,16.8492821367115,1,18.0,0,3,0,8.0,1,7,5.2
17,2.2,1,14.44747015265597,0,13.0,0,7,0,3.0,0,6,4.5
18,0.88,2,1.5598773281881817,0,15.0,0,9,0,2.0,1,7,7.800000000000001
15,1.34,1,2.122600386180389,0,21.0,1,1,0,8.0,0,7,6.65
16,1.82,3,9.855626917299114,1,16.0,0,2,0,4.0,0,5,5.449999999999999
18,0.62,5,3.214266983819713,1,26.0,0,4,0,3.0,1,7,8.45
15,3.62,5,19.56530927058948,1,3.0,1,13,0,3.0,1,5,0.9499999999999997
18,2.17,4,3.170404680548189,1,12.0,1,10,0,7.0,0,8,4.575
15,2.97,1,9.74935670927948,1,7.0,0,9,0,3.0,0,4,2.5749999999999993
16,0.98,1,7.282421136830108,1,18.0,0,12,0,7.0,1,7,7.55
17,3.1,6,12.78772842908196,0,4.0,0,12,0,6.0,0,7,2.25
15,3.5,4,2.5807281777884983,0,1.0,1,2,0,5.0,1,3,1.25
18,2.59,5,8.606328560847817,1,14.0,1,0,0,7.0,1,7,3.5250000000000004
16,3.54,1,5.494100656142873,0,1.0,1,9,1,8.0,1,7,1.15
15,2.82,3,17.75503049343376,1,10.0,0,2,1,5.0,1,4,2.95
18,2.02,2,0.8117142426939017,1,12.0,1,2,0,3.0,1,7,4.95
18,1.37,3,18.274549880129182,0,22.0,0,15,0,4.0,0,7,6.574999999999999
18,2.1,3,16.65988277106001,1,9.0,0,13,0,6.0,0,5,4.75
15,3.03,1,5.951414328816309,0,2.0,0,3,0,7.0,0,6,2.4250000000000007
15,3.58,6,15.785813093542094,1,4.0,0,14,0,4.0,1,3,1.0499999999999998
15,2.43,4,0.6242712067749512,1,2.0,1,2,0,8.0,0,6,3.925
17,3.16,4,19.33731100586787,0,5.0,1,12,0,7.0,1,5,2.0999999999999996
15,2.12,1,10.531898851795788,1,12.0,1,0,0,6.0,0,5,4.699999999999999
15,2.2,2,6.065620521308905,1,9.0,0,13,0,7.0,1,4,4.5
15,1.18,3,7.251664251893541,0,18.0,1,4,0,7.0,1,8,7.050000000000001
17,2.74,2,1.3281070692099473,1,7.0,1,7,0,5.0,1,9,3.1499999999999995
15,2.24,2,19.786990280840783,0,17.0,0,6,0,4.0,1,7,4.3999999999999995
18,3.14,6,0.7858389030138491,1,2.0,1,2,0,3.0,0,6,2.1499999999999995
15,1.05,3,13.09814246295718,0,23.0,1,14,0,7.0,1,9,7.375
18,0.82,1,8.854718554129166,0,23.0,0,6,0,8.0,1,6,7.95
18,2.03,3,18.978324363774306,1,16.0,1,9,0,6.0,0,6,4.925000000000001
18,2.43,6,4.919994806135904,1,7.0,1,4,1,6.0,0,5,3.925
17,2.66,6,10.641736478760226,0,9.0,1,3,0,5.0,0,9,3.3499999999999996
17,3.59,6,9.64712417165506,1,1.0,1,2,0,7.0,0,8,1.0250000000000004
17,2.31,5,14.057328881002029,1,11.0,0,13,1,6.0,1,9,4.225
15,1.01,6,1.3602046390484102,1,22.0,1,5,1,5.0,1,7,7.4750000000000005
18,2.88,2,3.875782600467097,0,5.0,1,9,0,7.0,0,7,2.8000000000000003
17,2.8,1,4.291296401856997,0,1.0,0,5,0,3.0,0,7,3.0000000000000004
17,1.76,5,14.763015096833794,1,20.0,0,9,0,3.0,1,8,5.6000000000000005
15,1.12,5,3.7827739265348015,1,22.0,1,3,0,5.0,0,5,7.199999999999999
17,1.03,1,11.469835277819534,0,23.0,0,4,0,3.0,0,4,7.424999999999999
15,3.08,6,4.304876410019074,0,2.0,1,14,1,6.0,1,4,2.3
16,2.63,2,17.232499001679567,0,16.0,1,9,0,7.0,1,9,3.4250000000000003
17,0.5,2,18.84370908979277,1,28.0,0,15,0,7.0,1,4,8.75
16,2.78,4,10.369859498844807,0,6.0,0,3,0,4.0,1,5,3.0500000000000007
15,0.25,1,7.046177684183565,1,28.0,0,3,0,6.0,0,8,9.375
18,1.19,2,4.681155500349982,0,20.0,0,9,0,8.0,1,9,7.025
17,3.38,4,0.9956200304608752,1,4.0,1,15,0,6.0,1,6,1.5500000000000003
15,1.29,1,5.370001523949908,0,22.0,0,0,0,5.0,0,6,6.775
18,3.72,3,13.084715598906358,1,0.0,0,3,0,7.0,0,8,0.6999999999999995
18,2.67,5,10.672338626184215,0,7.0,1,3,0,5.0,1,4,3.325
16,2.37,5,18.880825565618547,0,11.0,1,13,0,7.0,1,8,4.074999999999999
15,1.62,2,7.925545249834012,1,13.0,0,15,0,5.0,0,8,5.949999999999999
18,2.54,4,13.87726684656789,0,15.0,1,1,1,5.0,1,7,3.65
17,2.3,2,9.786454949502428,1,9.0,0,1,1,7.0,0,6,4.25
17,2.26,6,10.251524318484233,0,14.0,1,13,1,4.0,1,5,4.3500000000000005
16,1.32,1,5.35548629208235,0,20.0,0,10,0,10.0,1,6,6.699999999999999
18,0.95,3,9.099015536839994,1,23.0,0,13,0,8.0,0,7,7.625
15,0.82,5,9.415699940254145,0,25.0,1,9,0,8.0,0,7,7.95
17,2.34,5,14.132850434978678,1,14.0,0,0,0,6.0,0,3,4.15
18,2.68,3,18.81279998372228,0,9.0,0,9,0,6.0,1,6,3.3
18,1.54,2,6.586425549650086,1,20.0,1,8,0,10.0,1,5,6.15
16,0.2,1,0.8440093716259689,0,27.0,1,15,0,4.0,1,8,9.5
17,2.75,5,9.925902510012794,1,6.0,0,14,0,5.0,0,7,3.125
17,1.1,6,10.889226642983372,0,25.0,1,6,1,6.0,0,5,7.25
15,2.55,2,3.368811022638305,0,2.0,1,13,0,1.0,1,7,3.6250000000000004
17,3.27,2,15.209292125521332,1,1.0,1,14,0,6.0,1,4,1.825
15,3.19,1,19.698582168829837,0,5.0,0,2,0,5.0,0,6,2.0250000000000004
17,1.72,5,18.915494340169214,0,20.0,1,8,0,7.0,1,8,5.700000000000001
16,2.34,5,3.942120776473044,1,8.0,1,12,0,4.0,1,6,4.15
17,3.27,6,17.507264798015214,0,9.0,1,9,0,5.0,1,8,1.825
15,2.99,2,14.089872728233694,1,3.0,0,12,0,6.0,0,7,2.5249999999999995
15,0.9,4,9.076931276138232,0,26.0,1,6,1,6.0,0,6,7.75
16,2.96,3,10.812219886494582,0,2.0,0,7,0,3.0,0,9,2.6
17,2.67,5,16.99200349964916,1,8.0,1,6,1,5.0,1,7,3.325
17,1.22,4,9.602698792767464,1,23.0,1,6,0,6.0,0,8,6.950000000000001
16,1.37,3,7.464147382102537,1,21.0,0,9,0,7.0,1,7,6.574999999999999
17,1.52,5,9.864949860519715,1,16.0,0,6,0,4.0,1,7,6.2
17,2.23,4,11.582596080700982,0,13.0,0,7,0,4.0,0,6,4.425
15,2.14,2,3.781553075566977,0,9.0,1,15,0,6.0,1,7,4.6499999999999995
17,2.26,1,18.018154605339813,0,12.0,0,3,0,4.0,0,6,4.3500000000000005
17,2.75,3,13.483738976592276,0,11.0,1,13,0,3.0,0,6,3.125
16,0.9,4,12.665378346749778,1,26.0,1,6,0,6.0,1,7,7.75
16,3.12,1,1.9899245236127627,0,0.0,1,15,0,5.0,1,9,2.1999999999999997
18,1.29,5,12.083478763451836,1,27.0,1,11,0,5.0,0,4,6.775
15,0.57,4,2.4192132447698467,0,21.0,0,13,0,8.0,0,5,8.575000000000001
17,0.58,3,1.573953503907981,0,28.0,1,15,0,5.0,0,9,8.55
17,1.64,5,10.546217912847863,1,18.0,0,4,1,4.0,1,8,5.9
18,1.23,1,8.055710680929899,1,18.0,0,7,0,6.0,1,6,6.925
17,2.97,6,11.776205403124465,0,5.0,0,6,0,5.0,1,7,2.5749999999999993
15,2.01,5,1.784443361144772,1,12.0,1,5,1,5.0,1,7,4.9750000000000005
18,1.15,6,8.619661256945168,0,18.0,1,11,0,6.0,0,5,7.125
15,2.19,2,3.4957343009031594,0,12.0,0,7,0,8.0,0,6,4.525
18,0.95,3,19.74200171848233,0,26.0,1,7,0,7.0,0,4,7.625
18,0.57,1,11.223004248703488,0,25.0,1,7,0,6.0,0,9,8.575000000000001
16,0.97,2,13.748737218817348,1,21.0,0,0,0,3.0,1,8,7.575000000000001
15,1.66,3,6.508365613652156,0,20.0,1,7,0,8.0,1,4,5.85
17,2.84,4,1.894778295586883,0,3.0,0,10,0,7.0,1,6,2.9000000000000004
17,0.19,1,19.517417255670733,1,23.0,0,1,0,7.0,0,6,9.525
15,3.26,3,5.7251807076636645,1,1.0,1,14,0,6.0,1,3,1.8500000000000005
17,1.92,2,8.476163703471485,0,14.0,0,5,0,5.0,0,5,5.2
17,2.02,4,12.9972784340515,1,11.0,0,11,1,6.0,1,9,4.95
15,0.13,3,0.4939459537222257,1,29.0,1,6,0,6.0,0,4,9.675
18,1.29,2,16.205182610345737,1,26.0,1,5,0,2.0,0,9,6.775
15,2.59,2,10.731563800572406,0,6.0,1,0,0,5.0,1,9,3.5250000000000004
18,1.46,5,5.564343741376443,1,19.0,0,15,0,4.0,0,8,6.35
17,1.47,3,1.232159705849385,0,17.0,0,3,0,3.0,1,7,6.325000000000001
17,1.71,2,3.2499683094888288,0,22.0,1,8,0,8.0,0,9,5.725
17,2.29,1,17.900677177068737,1,12.0,0,5,0,5.0,1,6,4.275
16,1.96,1,13.72048447871782,0,16.0,0,7,0,8.0,1,5,5.1
18,2.62,2,4.998034432737796,0,3.0,0,13,0,5.0,0,3,3.4499999999999997
16,0.77,4,1.3120152989005909,0,24.0,1,6,0,6.0,1,9,8.075
16,1.81,4,13.812306247732726,0,13.0,0,6,0,4.0,0,7,5.475
15,0.88,5,11.448154519355302,1,19.0,0,10,0,6.0,1,5,7.800000000000001
16,0.82,4,8.090390489164701,0,27.0,0,14,0,7.0,1,6,7.95
15,1.45,1,7.272228983801277,0,12.0,0,13,0,5.0,0,5,6.375
15,3.34,1,4.336285518582166,1,2.0,0,12,0,5.0,0,8,1.6500000000000004
16,0.82,2,13.392225130750353,0,25.0,0,14,0,9.0,0,7,7.95
18,0.68,1,19.41336055587741,1,25.0,0,3,0,5.0,1,7,8.299999999999999
18,1.39,5,3.514304916736517,1,17.0,0,10,0,5.0,0,6,6.525
18,1.99,2,11.942332400310068,0,13.0,0,5,1,3.0,0,6,5.0249999999999995
18,1.64,1,8.483701114919524,0,14.0,0,5,0,5.0,0,5,5.9
18,2.51,6,8.933774434893298,0,2.0,0,14,0,6.0,1,5,3.7250000000000005
16,2.98,3,5.082945602556288,1,0.0,0,14,0,6.0,0,6,2.55
16,1.26,2,16.50269751322838,0,25.0,0,15,1,6.0,0,4,6.8500000000000005
17,1.42,6,9.705112082944822,1,23.0,0,3,0,5.0,0,5,6.45
18,1.6,1,10.86811704396528,1,16.0,1,0,0,5.0,1,5,6.0
16,3.09,4,6.095218255946515,0,2.0,0,0,0,6.0,1,5,2.2750000000000004
17,1.64,5,3.636169313338995,0,13.0,1,3,0,8.0,0,9,5.9
18,2.59,2,1.7182077640564095,1,2.0,0,0,0,8.0,1,5,3.5250000000000004
15,2.39,3,14.282382818498318,1,12.0,0,8,0,5.0,1,5,4.0249999999999995
17,1.9,6,3.924685633757112,1,14.0,1,4,0,8.0,1,4,5.25
16,2.11,6,13.801507083775954,0,17.0,0,10,0,5.0,1,6,4.7250000000000005
15,1.7,6,7.807528920939077,0,13.0,0,5,0,2.0,0,6,5.75
15,1.04,5,8.315496019793029,0,20.0,1,10,0,2.0,1,7,7.4
15,1.19,2,9.383549921855431,0,25.0,0,3,0,5.0,0,8,7.025
17,2.65,5,7.354170162550863,1,2.0,0,2,0,6.0,0,8,3.375
16,1.23,1,2.0123995444518017,1,18.0,0,8,1,6.0,1,5,6.925
15,2.13,2,6.192636200056915,1,7.0,1,11,0,7.0,1,7,4.675000000000001
18,2.91,2,13.274687213878767,1,3.0,1,10,0,8.0,1,6,2.7249999999999996
15,3.12,5,13.31568802937742,1,3.0,0,11,1,7.0,1,4,2.1999999999999997
15,1.04,1,5.724486144799887,0,18.0,0,2,0,6.0,0,6,7.4
17,2.4,6,9.20205253115376,1,10.0,1,7,0,5.0,0,6,4.0
17,3.16,4,3.8689445602387496,1,0.0,0,0,0,5.0,0,4,2.0999999999999996
16,2.72,3,4.207441630596716,1,7.0,0,5,0,5.0,1,9,3.1999999999999993
18,1.53,1,0.4609417681321481,0,14.0,1,4,0,9.0,1,6,6.174999999999999
17,3.47,3,17.934930998154893,1,0.0,0,4,0,9.0,1,6,1.3249999999999995
15,2.3,4,4.214133301498125,1,6.0,1,9,0,5.0,0,8,4.25
16,1.27,6,4.550677538729266,0,20.0,1,14,0,8.0,1,6,6.825
15,1.48,2,5.592028652902636,0,19.0,1,10,0,2.0,0,7,6.3
15,1.45,5,2.54816143390858,0,19.0,0,9,0,3.0,1,5,6.375
17,0.81,5,12.785257663627256,1,23.0,0,11,0,4.0,1,4,7.975
16,2.15,3,1.5028590635517314,1,10.0,0,3,0,6.0,0,5,4.625
18,0.56,2,2.6840485265270053,0,26.0,0,9,0,9.0,0,4,8.6
18,0.58,2,12.895134531801858,0,28.0,0,9,1,7.0,0,9,8.55
17,1.6,2,6.793212409628855,1,13.0,0,13,0,5.0,1,6,6.0
17,1.0,5,14.158956534023782,1,21.0,0,11,0,7.0,1,7,7.5
16,1.66,1,11.14849489340284,0,15.0,0,9,0,8.0,0,8,5.85
18,1.53,6,5.120423461230262,1,13.0,0,5,1,7.0,0,9,6.174999999999999
18,2.21,6,13.016559009786562,1,11.0,0,2,0,6.0,0,5,4.475
18,1.16,5,2.325473605857613,0,16.0,0,8,0,7.0,1,7,7.1
15,2.15,3,10.728207661600608,0,13.0,0,1,0,2.0,1,5,4.625
18,2.59,1,8.742962100900693,0,9.0,1,6,0,5.0,0,6,3.5250000000000004
15,0.91,4,5.357471656348816,1,23.0,1,3,0,5.0,0,9,7.725
16,0.7,3,12.080099954790002,1,28.0,0,3,0,6.0,1,7,8.25
15,2.14,5,17.42667184680565,1,13.0,0,4,0,7.0,0,8,4.6499999999999995
16,1.55,4,19.97809399526153,1,17.0,0,6,0,5.0,0,7,6.125
18,1.55,3,12.15525537486849,1,21.0,0,10,0,8.0,0,7,6.125
18,2.97,3,8.094117486583404,0,8.0,0,5,0,6.0,1,6,2.5749999999999993
16,1.63,1,4.5041420043240326,1,16.0,1,10,0,4.0,0,7,5.925000000000001
17,2.33,6,5.141921787902235,0,5.0,0,11,0,5.0,0,5,4.175
16,3.27,1,9.589099562995314,0,7.0,1,12,0,6.0,1,7,1.825
17,0.35,3,7.345554025614184,1,25.0,0,4,0,7.0,0,6,9.125
15,1.89,2,18.276290452498884,1,12.0,0,9,0,4.0,0,5,5.275
15,1.46,1,7.365909353114191,1,17.0,0,9,0,7.0,0,6,6.35
15,2.55,4,7.468891822908709,1,4.0,1,12,0,4.0,1,7,3.6250000000000004
18,2.22,2,7.67069024867954,0,5.0,0,9,0,5.0,1,7,4.449999999999999
15,1.85,5,16.732404207353163,1,20.0,0,7,0,7.0,1,7,5.375
17,1.85,5,13.015766416938035,0,18.0,1,6,0,4.0,1,6,5.375
15,3.27,6,12.283377006377854,0,3.0,0,2,0,5.0,0,4,1.825
16,2.55,6,6.682860447677244,1,6.0,0,13,0,3.0,1,5,3.6250000000000004
16,3.1,6,16.35808353664879,1,3.0,0,13,0,5.0,0,5,2.25
18,0.66,5,0.7672772271140227,0,24.0,0,1,0,4.0,0,6,8.35
16,3.09,2,17.415943446762263,0,10.0,0,8,0,7.0,1,5,2.2750000000000004
17,1.99,3,10.254997995878592,1,11.0,0,7,0,5.0,0,9,5.0249999999999995
15,2.61,3,7.965004697268256,0,13.0,0,11,0,7.0,1,5,3.4750000000000005
18,1.73,3,9.943345614353714,1,12.0,0,4,0,6.0,0,6,5.675
15,1.11,4,13.348310610676622,1,28.0,1,7,0,6.0,1,5,7.225
15,1.65,1,0.2553085303579472,1,9.0,1,12,0,4.0,1,8,5.875
17,1.34,2,17.431037129164956,1,17.0,0,11,0,2.0,0,5,6.65
16,1.98,2,8.934790506227856,0,15.0,0,11,0,2.0,1,7,5.05
16,3.06,1,6.859330394001564,0,4.0,0,12,0,3.0,0,10,2.3499999999999996
15,2.39,2,2.764911312681142,1,7.0,0,10,0,6.0,0,7,4.0249999999999995
18,2.08,1,8.789307487168843,0,13.0,0,4,0,9.0,1,8,4.8
16,3.65,5,9.926455425687577,0,4.0,0,6,0,5.0,1,7,0.8750000000000002
18,0.32,6,8.072933889869557,0,25.0,1,5,0,3.0,1,7,9.200000000000001
16,1.13,3,13.573201876537942,1,27.0,0,7,0,4.0,1,5,7.175000000000001
18,0.63,1,8.41793057518452,1,23.0,1,6,0,7.0,0,4,8.425
17,3.16,4,19.228351556931468,0,7.0,0,0,0,4.0,1,9,2.0999999999999996
18,0.68,5,11.985550356471837,1,24.0,0,6,1,8.0,1,4,8.299999999999999
17,0.8,5,16.14955871303818,1,25.0,0,9,0,6.0,1,7,8.0
17,2.84,3,2.187118062189577,1,5.0,0,5,1,4.0,0,6,2.9000000000000004
18,1.25,4,7.945825858918114,0,15.0,0,4,0,4.0,0,9,6.875
17,0.53,4,6.736954028943054,0,27.0,0,12,0,5.0,1,6,8.674999999999999
15,3.19,3,11.389647762731837,1,3.0,1,15,0,7.0,0,4,2.0250000000000004
17,2.82,5,17.222270401228513,0,11.0,0,4,0,6.0,0,6,2.95
16,2.16,1,1.5667643552401334,1,10.0,0,15,0,7.0,0,9,4.6
18,2.72,6,1.4514959608942155,1,2.0,1,5,0,4.0,1,6,3.1999999999999993
15,2.63,1,17.00635416315198,0,11.0,1,11,0,4.0,0,6,3.4250000000000003
18,0.91,3,4.257001720767148,0,29.0,1,12,0,4.0,0,8,7.725
16,2.61,3,13.375065088996276,0,4.0,0,1,0,6.0,0,8,3.4750000000000005
16,2.98,2,10.857562647216104,1,5.0,0,5,0,3.0,0,5,2.55
16,1.63,4,16.657871897744588,1,18.0,0,7,0,6.0,0,5,5.925000000000001
17,1.36,2,2.5017781967280706,0,17.0,0,4,0,3.0,1,7,6.6
17,1.92,2,2.595659314452225,1,15.0,0,12,0,4.0,0,6,5.2
18,1.01,3,11.13636720556615,1,22.0,0,9,0,6.0,1,8,7.4750000000000005
